Selected,Customer ID,Customer Name,Customer Class,City,State,Terms,Customer Status,Restrict Visibility To,Time Zone,Tax Zone,Parent Account ID,Billing Email,Primary Email,Open Balance,Price Class,Billing Cycle,Send Appointment Email,Send Invoices by Email,Default Payment Method,Print Invoices,Last Modified By,Print Statements,Send Statements by Email,Credit Verification,Statement Cycle ID,AR Rep Name,AR Rep Email,Managed By Third Party,Account Name,Created On
False,CATW000481,Circle K #2723683 - Tennessee St,CORPACCT,Cartersville,GA,NET30,Active,ATW,,GABARCARTE,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000240,Circle K #2723678 - Rome,CORPACCT,Rome,GA,NET30,Active,ATW,,GAFLOROME,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000232,Circle K #2723675 - Hwy 20 SE,CORPACCT,Cartersville,GA,NET30,Active,ATW,,GABARCARTE,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000239,Circle K #2723659 - Turner McCall Blvd,CORPACCT,Rome,GA,NET30,Active,ATW,,GAFLOROME,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000238,Circle K #2723655 - Garden Lakes Blvd,CORPACCT,Rome,GA,NET30,Active,ATW,,GAFLOROME,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000231,Circle K #2723653 - E. Main St,CORPACCT,Cartersville,GA,NET30,Active,ATW,,GABARCARTE,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000229,Circle K #2723651 - South Wall St,CORPACCT,Calhoun,GA,NET30,Active,ATW,,GAGORCALHO,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000224,Circle K #2723650 - North Hwy 27,CORPACCT,Carrollton,GA,NET30,Active,ATW,,GACARCARRO,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000237,Circle K #2723647 - Old Calhoun Hwy. NE,CORPACCT,Rome,GA,NET30,Active,ATW,,GAFLOROME,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000227,Circle K #2723639 - Cartersville,CORPACCT,Cartersville,GA,NET30,Active,ATW,,GABARCARTE,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000236,Circle K #2723564 - Cedartown Hwy. SW,CORPACCT,Rome,GA,NET30,Active,ATW,,GAFLOLINDA,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000226,Circle K #2723554 - Joe Frank Harris Pkwy,CORPACCT,Cartersville,GA,NET30,Active,ATW,,GABARCARTE,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000234,Circle K #2723537 - Martha Berry Hwy,CORPACCT,Rome,GA,NET30,Active,ATW,,GAFLOROME,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000225,Circle K #2723519 - E. Hwy 53,CORPACCT,Calhoun,GA,NET30,Active,ATW,,GAGORCALHO,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000748,Circle K #2706744 - Columbus,CORPACCT,Columbus,GA,NET30,Active,ATW,,GAMUSCOLUM,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000233,Circle K #2704721 - Rucker Road,CORPACCT,Roswell,GA,NET30,Active,ATW,,GAFULALPHA,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000230,Circle K #2701882 - Douglasville,CORPACCT,Douglasville,GA,NET30,Active,ATW,,GADOUDOUGL,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000741,Circle K #05259 - Lower Roswell Rd,CORPACCT,Marietta,GA,NET30,Active,ATW,,GACOBMARIE,,NTAP_SE@circlek.com,NTAP_SE@circlek.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000446,CiCi's Pizza Cartersville,STANDARD,Cartersville,GA,NET30,Active,ATW,,GABARCARTE,,sturley@cicis.com,sturley@cicis.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000449,Chops & Lobster Bar (BLG),STANDARD,Atlanta,GA,NET30,Active,ATW,,GAFULATLAN,,hfiltcheva@buckheadrestaurants.com,hfiltcheva@buckheadrestaurants.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000656,Chick-fil-A - S Cobb Dr,STANDARD,Smyrna,GA,NET30,Active,ATW,,GACOBSMYRN,,admin@cfasouthcobbdrive.com,admin@cfasouthcobbdrive.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000600,Chick-fil-A #04828 - Cumming,STANDARD,Cumming,GA,NET30,Active,ATW,,GAFORCUMMI,,04828@chick-fil-a.com,04828@chick-fil-a.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000589,Chick-fil-A #03797 - Cascade Road,STANDARD,Atlanta,GA,NET30,Active,ATW,,GAFULATLAN,,03797@chick-fil-a.com,03797@chick-fil-a.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000027,Chick-fil-A #03700 - Avalon,STANDARD,Alpharetta,GA,NET30,Active,ATW,,GAFULALPHA,,avaloninvoices@yahoo.com,avaloninvoices@yahoo.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000506,Chick-fil-A #02977 - Green Deck,STANDARD,Atlanta,GA,NET30,Active,ATW,,GAFULATLAN,,02977@chick-fil-a.com,02977@chick-fil-a.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000305,Chick-fil-A #02191 - Smyrna,STANDARD,Smyrna,GA,NET30,Active,ATW,,GACOBSMYRN,,02191@chick-fil-a.com,02191@chick-fil-a.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000026,Chick-fil-A #01496 - Camp Creek,STANDARD,East Point,GA,NET30,Active,ATW,,GAFULATLAN,,01496@chick-fil-a.com,01496@chick-fil-a.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000030,Chick-fil-A #00802 - Johnson Ferry,STANDARD,Marietta,GA,NET30,Active,ATW,,GACOBMARIE,,00802@chick-fil-a.com,00802@chick-fil-a.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000470,Chick-fil-A #00703 - Piedmont Rd,STANDARD,Atlanta,GA,NET30,Active,ATW,,GAFULATLAN,,00703@chick-fil-a.com,00703@chick-fil-a.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000749,Chick Fil A - Newnan,STANDARD,Newnan,GA,NET30,Active,ATW,,GACOWNEWNA,,70045@chick-fil-a.com,70045@chick-fil-a.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000440,Chevron - West Paces,STANDARD,Atlanta,GA,COD,Active,ATW,,GAFULATLAN,,consolidatedbill@enviro-master.com,consolidatedbill@enviro-master.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000555,Cheba Hut Toasted Subs,STANDARD,Atlanta,GA,NET30,Active,ATW,,GAFULATLAN,,justin.beatty@chebahut.com,justin.beatty@chebahut.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000647,Chastain Park Athletic Club,STANDARD,Atlanta,GA,NET30,Active,ATW,,GAFULATLAN,,jimkingusa@gmail.com,jimkingusa@gmail.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000492,Ceviche Taqueria - Roswell,STANDARD,Roswell,GA,NET30,Active,ATW,,GAFULROSWE,,emma@cevichetaqueria.com,emma@cevichetaqueria.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000501,Ceviche Taqueria - Alpharetta,STANDARD,Alpharetta,GA,NET30,Active,ATW,,GAFULALPHA,,alpha@cevichetaqueria.com,alpha@cevichetaqueria.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000523,Caterpillar International Academy,STANDARD,Sandy Springs,GA,NET30,Active,ATW,,GAFULATL01,,info@caterpillarintlacademy.com,info@caterpillarintlacademy.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000194,Casa Grande,STANDARD,Austell,GA,NET30,Active,ATW,,GACOBAUSTE,,pa22calle@yahoo.com,pa22calle@yahoo.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000223,Carrabba's #6116 - Douglasville,STANDARD,Douglasville,GA,NET30,Active,ATW,,GADOUDOUGL,,CA6116@carrabbas.com,CA6116@carrabbas.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000383,Carrabba's #1102 - Kennesaw,STANDARD,Kennesaw,GA,NET30,Active,ATW,,GACOBKENNE,,CA1102@carrabbas.com,CA1102@carrabbas.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000623,Carolina Lumber & Supply Company,STANDARD,Atlanta,GA,NET30,Active,ATW,,GAFULATLAN,,apfax@carolinalumber.com,apfax@carolinalumber.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000022,Capital Cadillac,STANDARD,Smyrna,GA,NET30,Active,ATW,,GACOBSMYRN,,AP@capitalcadillac.com,AP@capitalcadillac.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000330,Canoe Atlanta,STANDARD,Atlanta,GA,NET30,Active,ATW,,GACOBATLAN,,vincent@canoeatl.com,vincent@canoeatl.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000262,Camps Kitchen & Bar,STANDARD,Marietta,GA,NET30,Active,ATW,,GACOBMARIE,,kimgreen.moocoo@gmail.com,kimgreen.moocoo@gmail.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000020,C&S Seafood - Vinings,STANDARD,Atlanta,GA,NET30,Active,ATW,,GACOBATLAN,,csaccounting@gmail.com,csaccounting@gmail.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000458,C&S Seafood - Sandy Springs,STANDARD,Atlanta,GA,NET30,Active,ATW,,GAFULATL01,,cheftonycands@gmail.com,cheftonycands@gmail.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000746,C&S Seafood & Oyster Bar,STANDARD,Atlanta,GA,NET30,Active,ATW,,GACOBATLAN,,chefphilcands@gmail.com,chefphilcands@gmail.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000019,Butler Tire - Store 405,STANDARD,Marietta,GA,NET30,Active,ATW,,GACOBMARIE,,AP@butlertire.com,AP@butlertire.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000018,Bunzl R3,STANDARD,Lithia Springs,GA,NET30,Active,ATW,,GADOULITHI,,BD-Invoices@dataserv-stl.com,BD-Invoices@dataserv-stl.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000277,Bunzl Processor Division,STANDARD,Lithia Springs,GA,NET30,Active,ATW,,GADOULITHI,,BD-Invoices@dataserv-stl.com,BD-Invoices@dataserv-stl.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000730,Bullgogi Korean & Poke,STANDARD,Marietta,GA,NET30,Active,ATW,,GACOBMARIE,,yes2020inc@gmail.com,yes2020inc@gmail.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000655,Build A Bear - Kennesaw,CORPACCT,Kennesaw,GA,NET30,Active,ATW,,GACOBKENNE,,dispatch@kfm247.com,dispatch@kfm247.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000654,Build A Bear - Douglasville,CORPACCT,Douglasville,GA,NET30,Active,ATW,,GADOUDOUGL,,dispatch@kfm247.com,dispatch@kfm247.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000017,Buffalo's SW Cafe-Cartersville,STANDARD,Cartersville,GA,NET30,Active,ATW,,GABARCARTE,,cticorp.Buffalos@gmail.com,cticorp.Buffalos@gmail.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000729,Buffalo's Cafe - Cartersville,STANDARD,Cartersville,GA,NET30,Active,ATW,,GABARCARTE,,cticbc@gmail.com,cticbc@gmail.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000016,Buffalo's Cafe - Acworth,STANDARD,Kennesaw,GA,COD,Active,ATW,,GACOBKENNE,,acworth@buffaloscafe.com,acworth@buffaloscafe.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000527,Brookwood Grill - Roswell,STANDARD,Roswell,GA,NET30,Active,ATW,,GAFULROSWE,,mfairley@brookwoodgrill.com,mfairley@brookwoodgrill.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000014,Brazilian Bakery & Cafe,STANDARD,Marietta,GA,COD,Active,ATW,,GACOBMARIE,,consolidatedbill@enviro-master.com,consolidatedbill@enviro-master.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000013,Brake Pad,STANDARD,College Park,GA,COD,Active,ATW,,GAFULATL02,,gricker65@gmail.com,gricker65@gmail.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000214,Braddock Metallurgical - LaGrange Blvd.,STANDARD,Atlanta,GA,NET30,Active,ATW,,GAFULATL01,,accountspayable@braddockmt.com,accountspayable@braddockmt.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000011,BP - Towne Lake,STANDARD,Woodstock,GA,COD,Active,ATW,,GACHEWOODS,,rbslns@comcast.net,rbslns@comcast.net,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000631,BP - Austell,STANDARD,Austell,GA,COD,Active,ATW,,GACOBAUSTE,,maxhambp@gmail.com,maxhambp@gmail.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000573,Bowlero 810 - KN,CORPACCT,Kennesaw,GA,NET30,Active,ATW,,GACOBKENNE,,JaBarr@LSEnt.com,JaBarr@LSEnt.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000728,Bowlero - Atlantic Station,CORPACCT,Atlanta,GA,NET30,Active,ATW,,GAFULATLAN,,JaBarr@LSEnt.com,JaBarr@LSEnt.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000010,Bond James Bond Inc,STANDARD,Cartersville,GA,NET30,Active,ATW,,GABARCARTE,,marissa.g@bondjamesbondinc.com,marissa.g@bondjamesbondinc.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000460,Blue Ghost Arcade,STANDARD,Woodstock,GA,NET30,Active,ATW,,GACHEWOODS,,theblueghostarcade@gmail.com,theblueghostarcade@gmail.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000448,Bistro Niko (BLG),STANDARD,Atlanta,GA,NET30,Active,ATW,,GAFULATLAN,,hfiltcheva@buckheadrestaurants.com,hfiltcheva@buckheadrestaurants.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000009,Bernhard's Bread Bakery,STANDARD,Marietta,GA,NET30,Active,ATW,,GACOBMARIE,,contact@bernhardsgermanbakery.com,contact@bernhardsgermanbakery.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000164,Bekaert Rome - Service,STANDARD,Rome,GA,NET60,Active,ATW,,GAFLOROME,,USAKR-AP@bekaert.com,USAKR-AP@bekaert.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000219,Bekaert Rome - Products,STANDARD,Rome,GA,NET60,Active,ATW,,GAFLOROME,,USAP@bekaert.com,USAP@bekaert.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000374,Bekaert Marietta - Bldg 700,STANDARD,Marietta,GA,NET60,Active,ATW,,GAFLOROME,,USAP@bekaert.com; Chandlor.Vance@bekaert.com,USAP@bekaert.com; Chandlor.Vance@bekaert.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000354,Bekaert Marietta - Bldg 500,STANDARD,Marietta,GA,NET60,Active,ATW,,GACOBMARIE,,USAP@bekaert.com,USAP@bekaert.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000413,Bawarchi Biryanis Indian Cuisine,STANDARD,Sandy Springs,GA,NET30,Active,ATW,,GAFULATL01,,bawarchibiryaniatl@gmail.com,bawarchibiryaniatl@gmail.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000365,Battle & Brew,STANDARD,Sandy Springs,GA,NET30,Active,ATW,,GAFULATL01,,soel@battleandbrew.com,soel@battleandbrew.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000008,Bar-B-Cutie,STANDARD,Acworth,GA,NET30,Active,ATW,,GACOBACWOR,,ed@bar-b-cutie.com,ed@bar-b-cutie.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000652,Bankhead Seafood,STANDARD,Atlanta,GA,NET30,Active,ATW,,GAFULATLAN,,mikeupscale@gmail.com,mikeupscale@gmail.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000541,Bad Daddy's Burger Bar - Smyrna,STANDARD,Smyrna,GA,NET30,Active,ATW,,GACOBSMYRN,,ap@gtrestaurants.com,ap@gtrestaurants.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000588,Bad Daddy's - Roswell,STANDARD,Roswell,GA,NET30,Active,ATW,,GAFULROSWE,,ap@gtrestaurants.com,ap@gtrestaurants.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000198,Avril's Eco-Friendly Car Wash,STANDARD,Atlanta,GA,NET30,Active,ATW,,GAFULATLAN,,stanjof49@gmail.com,stanjof49@gmail.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000657,Atlantic Grill,STANDARD,Atlanta,GA,NET30,Active,ATW,,GAFULATLAN,,info@atlantic-grill.com,info@atlantic-grill.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000447,Atlanta Fish Market (BLG),STANDARD,Atlanta,GA,NET30,Active,ATW,,GAFULATLAN,,hfiltcheva@buckheadrestaurants.com,hfiltcheva@buckheadrestaurants.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000454,Atlanta Bread Company - Woodstock,STANDARD,Woodstock,GA,NET30,Active,ATW,,GACHEWOODS,,josh@woosindustries.com,josh@woosindustries.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000489,Anchor Bar,STANDARD,Kennesaw,GA,NET30,Active,ATW,,GACOBKENNE,,anchorbarkenesaw@gmail.com,anchorbarkenesaw@gmail.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000006,All South Renovations,STANDARD,Marietta,GA,NET30,Active,ATW,,GACOBMARIE,,rcollins@allsouthrenovations.com,rcollins@allsouthrenovations.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000005,Alessio's Restaurant & Pizzaria,STANDARD,Roswell,GA,NET30,Active,ATW,,GAFULROSWE,,roswell.alessios@gmail.com,roswell.alessios@gmail.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000311,Accenture Song (Creative Drive - Atlanta),CORPACCT,Atlanta,GA,NET30,Active,ATW,,GACOBATLAN,,CAM.US.einv@accenture.com,CAM.US.einv@accenture.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000187,7 Tequilas - Cumming,STANDARD,Cumming,GA,NET30,Active,ATW,,GAFORCUMMI,,gmarino91@hotmail.com,gmarino91@hotmail.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000411,1911 Biscuits & Burgers,STANDARD,Smyrna,GA,NET30,Active,ATW,,GACOBSMYRN,,tk@1911biscuits.com,tk@1911biscuits.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000643,1201 Restaurant,STANDARD,Atlanta,GA,NET30,Active,ATW,,GAFULATLAN,,mikeupscale@gmail.com,mikeupscale@gmail.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000598,Steak N Shake #604 - Kennesaw,STANDARD,Kennesaw,GA,NET30,Active,ATW,,GACOBKENNE,,invoices@steaknshake.com,invoices@steaknshake.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000310,Sprong,STANDARD,Atlanta,GA,NET30,Active,ATW,,GAFULATLAN,,esther@sprongwear.com,esther@sprongwear.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000127,Sparkles Family Fun Center,STANDARD,Smyrna,GA,COD,Active,ATW,,GACOBSMYRN,,jc7360@bellsouth.net,jc7360@bellsouth.net,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
False,CATW000281,Southeastern Freight Lines,STANDARD,Austell,GA,NET30,Active,ATW,,GACOBAUSTE,,catherine.marvin@sefl.com,catherine.marvin@sefl.com,,,,,True,,True,kdukes,True,True,Days Past Due,EOM,,,,,3/20/2025
